trial,label,seed_family,perturbation_semantics,state_rebuild_applied,time_scale,t2_scale,configured_position_perturbation,configured_velocity_perturbation,configured_mass_perturbation,configured_throttle_perturbation,configured_direction_perturbation_deg,configured_direction_component_sigma,configured_direction_rms_deg_est,realized_t1_scale,realized_t2_scale,realized_t3_scale,realized_position_rms_m,realized_velocity_rms_m_s,realized_mass_rms_kg,realized_throttle_rms_abs,realized_direction_rms_deg,solver_success,mission_success,mission_success_slack,terminal_strict_success,path_ok,q_ok,g_ok,raw_path_ok,raw_q_ok,raw_g_ok,status,solver_status_class,trajectory_available,terminal_status,terminal_valid,alt_err_m,vel_err_m_s,radial_velocity_m_s,inclination_err_deg,fuel_margin_kg,terminal_criteria_ratio,final_mass_kg,final_mass_scored_kg,final_mass_gap_to_best_kg,max_q_pa,max_g,q_margin_pa,g_margin,q_utilization,g_utilization,path_utilization_ratio,runtime_s,log_path,log_available,solver_return_status,solver_iter_count
1,nominal,nominal,none,0,1,1,0,0,0,0,0,0,0,1,nan,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.6551944511,0.00499274033973,-0.00344351671266,2.40244162342e-08,216255.861097,0.000344351671266,316255.886069,316255.886069,1.45148369484e-05,34831.4622396,3.96900575552,168.5377604,0.0309942444815,0.995184635417,0.99225143888,0.995184635417,67.937816143,paper_outputs/final_paper_pack/reliability_raw/logs/01_nominal.log,1,Solve_Succeeded,46
2,time_minus,structured,deterministic_time_direction_bias_with_state_rebuild,1,0.9925,0.995,0,0,0,0,0.35,nan,0.35,0.9925,nan,0.9925,18020.8993323,110.977498453,11059.3972646,0,0.202435707884,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.28967215214,0.00306310926499,-0.00331011698689,1.70311942327e-08,216255.91164,0.000331011698689,316255.886084,316255.886084,6.17001205683e-08,34837.1402762,3.96899617901,162.859723786,0.031003820992,0.995346865035,0.992249044752,0.995346865035,56.9820296764,paper_outputs/final_paper_pack/reliability_raw/logs/02_time_minus.log,1,Solve_Succeeded,37
3,time_plus,structured,deterministic_time_direction_bias_with_state_rebuild,1,1.0075,1.005,0,0,0,0,-0.35,nan,0.35,1.0075,nan,1.0075,13396.2646809,59.1090015715,11045.3799484,0,0.202435707884,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-2.20336942002,0.00222094579203,-0.00640252637403,2.66286974693e-08,216255.87044,0.000640252637403,316255.886084,316255.886084,2.14204192162e-08,34838.9722797,3.96901906562,161.027720278,0.0309809343837,0.995399207992,0.992254766404,0.995399207992,62.2985868454,paper_outputs/final_paper_pack/reliability_raw/logs/03_time_plus.log,1,Solve_Succeeded,46
4,state_minus,structured,deterministic_time_direction_bias_with_state_rebuild,1,1,1,0,0,0,0,0.35,nan,0.35,1,nan,1,7364.93378884,45.7582774533,1.47038679621e-09,0,0.202435707884,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.83802998066,0.00346014865227,-0.00466685762333,1.91328979326e-08,216255.965885,0.000466685762333,316255.886084,316255.886084,3.50992195308e-08,34846.4779017,3.96902453795,153.522098327,0.0309754620471,0.995613654334,0.992256134488,0.995613654334,65.9701120853,paper_outputs/final_paper_pack/reliability_raw/logs/04_state_minus.log,1,Solve_Succeeded,51
5,state_plus,structured,deterministic_time_direction_bias_with_state_rebuild,1,1,1,0,0,0,0,-0.35,nan,0.35,1,nan,1,7130.11735921,43.7896588109,6.61423656608e-10,0,0.202435707884,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-2.10807611048,0.00157063540155,-0.00725241052385,3.56159723935e-08,216255.94001,0.000725241052385,316255.886084,316255.886084,3.54484654963e-08,34845.7033835,3.96900337824,154.296616505,0.030996621765,0.995591525243,0.992250844559,0.995591525243,258.999490261,paper_outputs/final_paper_pack/reliability_raw/logs/05_state_plus.log,1,Solve_Succeeded,263
6,rand_05,randomized,random_time_control_perturbation_with_state_rebuild,1,0.997204828076,0.999284377208,0,0,0,0.01,nan,0.01,0.810284684541,0.997204828076,nan,0.997204828076,13606.0538748,94.5452622622,8165.21731004,0.00426636484782,0.835446953751,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.60053594131,0.00318571914067,-0.00523833388405,3.6546502713e-08,216255.910107,0.000523833388405,316255.886084,316255.886084,6.30388967693e-08,34829.0964249,3.96898636705,170.903575068,0.0310136329531,0.995117040712,0.992246591762,0.995117040712,105.737037182,paper_outputs/final_paper_pack/reliability_raw/logs/06_rand_05.log,1,Solve_Succeeded,109
7,rand_06,randomized,random_time_control_perturbation_with_state_rebuild,1,1.00358718859,1.00150903156,0,0,0,0.01,nan,0.01,0.810284684541,1.00358718859,nan,1.00358718859,6199.4299451,38.2820614504,1522.98591997,0.00423465280759,0.822653784535,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-2.48073766753,0.0029654077116,-0.00679344762524,2.00872563028e-08,216255.973577,0.000679344762524,316255.886084,316255.886084,2.36905179918e-08,34841.4413311,3.96899049835,158.558668914,0.0310095016528,0.995469752317,0.992247624587,0.995469752317,121.803802729,paper_outputs/final_paper_pack/reliability_raw/logs/07_rand_06.log,1,Solve_Succeeded,114
8,rand_07,randomized,random_time_control_perturbation_with_state_rebuild,1,1.00679544847,0.997999029087,0,0,0,0.01,nan,0.01,0.810284684541,1.00679544847,nan,1.00679544847,9010.08632563,33.7632584434,6245.04738806,0.00401212248508,0.836871127803,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.54824660718,0.00262213770202,-0.00481839922613,2.73960232278e-08,216255.939774,0.000481839922613,316255.886084,316255.886084,1.20489858091e-08,34851.3537752,3.96900903501,148.646224773,0.0309909649862,0.995752965006,0.992252258753,0.995752965006,89.1240849495,paper_outputs/final_paper_pack/reliability_raw/logs/08_rand_07.log,1,Solve_Succeeded,81
9,rand_08,randomized,random_time_control_perturbation_with_state_rebuild,1,1.00802065403,1.00110034583,0,0,0,0.01,nan,0.01,0.810284684541,1.00802065403,nan,1.00802065403,10581.5312415,40.5516277207,7908.00376385,0.00387295206464,0.807775359077,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.97527766228,0.00258771726749,-0.00557452573499,1.69813709761e-08,216255.951347,0.000557452573499,316255.886084,316255.886084,0,34840.6627295,3.96899087575,159.337270545,0.0310091242475,0.995447506556,0.992247718938,0.995447506556,164.148829937,paper_outputs/final_paper_pack/reliability_raw/logs/09_rand_08.log,1,Solve_Succeeded,195
10,rand_09,randomized,random_time_control_perturbation_with_state_rebuild,1,0.996890542489,0.998674251812,0,0,0,0.01,nan,0.01,0.810284684541,0.996890542489,nan,0.996890542489,13484.6046315,91.1385365127,8594.13519336,0.00393260294327,0.814238356954,1,1,1,1,1,1,1,1,1,1,PASS_RAW,SOLVE_OK,1,PASS,1,-1.28292181436,0.00297161684557,-0.00427617108287,3.72337503052e-08,216255.89333,0.000427617108287,316255.886084,316255.886084,5.66360540688e-08,34816.2455909,3.96898578625,183.754409091,0.0310142137543,0.994749874026,0.992246446561,0.994749874026,122.721982002,paper_outputs/final_paper_pack/reliability_raw/logs/10_rand_09.log,1,Solve_Succeeded,135
