rtol,atol,final_spherical_height_m,final_velocity_m_s,spherical_height_error_m,velocity_error_m_s,radial_velocity_m_s,terminal_valid,strict_terminal_ok,strict_path_ok,raw_path_ok,raw_q_ok,raw_g_ok,q_ok,g_ok,max_q_pa,max_g,status
1e-06,1e-09,419674.856551,7659.1407966,-325.143448564,1.8713120209,-0.341410480135,1,1,1,1,1,1,1,1,34886.7912181,3.96957856292,PASS_RAW
5e-07,5e-10,419306.611772,7657.59182524,-693.388227725,0.322340658165,-2.07823301357,1,1,1,1,1,1,1,1,34846.1933543,3.97125892777,PASS_RAW
1e-07,1e-10,419884.463844,7657.49125007,-115.536156424,0.221765485331,-0.407053514615,1,1,1,1,1,1,1,1,34847.5847725,3.9687836593,PASS_RAW
5e-08,5e-11,419901.514257,7657.36609692,-98.485743342,0.0966123348198,-0.314805048792,1,1,1,1,1,1,1,1,34850.9345838,3.97163503648,PASS_RAW
1e-08,1e-11,419981.240945,7657.29886362,-18.759054861,0.0293790361347,-0.0547263920235,1,1,1,1,1,1,1,1,34856.1273266,3.97421490969,PASS_RAW
5e-09,5e-12,419988.789015,7657.27516678,-11.2109851995,0.0056821996177,-0.0314113330029,1,1,1,1,1,1,1,1,34856.1825388,3.97996574454,PASS_RAW
1e-09,1e-12,419998.344806,7657.27447732,-1.6551944511,0.00499274033973,-0.00344351671266,1,1,1,1,1,1,1,1,34856.4667704,3.97515778202,PASS_RAW
5e-10,5e-13,419999.353483,7657.27075359,-0.646516853943,0.00126901290332,-0.00182580891304,1,1,1,1,1,1,1,1,34856.5574682,3.97805133236,PASS_RAW
1e-10,1e-13,419999.876472,7657.26970513,-0.123528254218,0.000220546367018,-0.000427541419281,1,1,1,1,1,1,1,1,34847.2885173,3.97519120108,PASS_RAW
5e-11,5e-14,419999.973271,7657.26974509,-0.0267285015434,0.000260512654677,-2.32668044086e-05,1,1,1,1,1,1,1,1,34850.1900443,3.97630335888,PASS_RAW
1e-11,1e-14,420000.022444,7657.26951935,0.0224441029131,3.47734658135e-05,5.49934126059e-05,1,1,1,1,1,1,1,1,34851.912442,3.97519787157,PASS_RAW
5e-12,5e-15,420000.030671,7657.26952444,0.0306707276031,3.98558704546e-05,9.01545997825e-05,1,1,1,1,1,1,1,1,34850.2518885,3.97519821232,PASS_RAW
1e-12,1e-15,420000.036761,7657.26950974,0.036761441268,2.5161517442e-05,0.000100898884943,1,1,1,1,1,1,1,1,34849.7667956,3.97784662296,PASS_RAW
