Quantity,Value,Unit,Notes
Raw max-Q compliant,1,-,Forward replay without slack
Raw max-g compliant,1,-,Forward replay without slack
Coarsest raw-valid grid,80,nodes,All finer grids stay raw-valid and within 100 kg of N=140
Coarsest slack-valid grid,60,nodes,All finer grids stay slack-valid and within 100 kg of N=140
Coarsest converged replay tolerance,1e-08,rtol,Against tightest replay baseline
Nominal replay tolerance,1e-09 / 1e-12,rtol/atol,Used for baseline forward replay
Max position drift,3.0403,m,Optimizer vs replay
Max velocity drift,8.211737e-03,m/s,Optimizer vs replay
Max mass drift,0.616648,kg,Optimizer vs replay
Max interval replay relative error,2.044e-07,-,All intervals
Max interval replay position error,1.557e-04,m,Independent DOP853 interval replay
Reliability profile,course_core,-,Raw evidence bundle
