toggle,label,enabled,status,runtime_s,error_message
initial_guess_robustness,Initial-guess robustness,1,completed,188.71061492,
grid_independence,Grid independence,1,completed,229.689180851,
collocation_defect_audit,Collocation defect audit,1,completed,42.5311939716,
theoretical_efficiency,Theoretical efficiency,1,completed,1.76057815552,
integrator_tolerance,Integrator tolerance,1,completed,18.5203142166,
event_time_convergence,Event-time convergence,1,completed,14.8938438892,
monte_carlo_precision_target,Monte Carlo precision target,1,completed,942.277698755,
global_sensitivity,Global sensitivity ranking,1,completed,1719.36543393,
smooth_integrator_benchmark,Smooth ODE integrator benchmark,1,completed,3.71745085716,
conservative_invariants,Conservative-invariant audit,1,completed,31.6782200336,
finite_time_sensitivity,Finite-time sensitivity,1,completed,7.83124089241,
bifurcation,Bifurcation,1,completed,41.4709589481,
bifurcation_2d_map,Bifurcation 2D map,1,completed,616.760138035,
drift,Drift analysis,1,completed,0.000385046005249,
