n,success_rate,wilson_low_95,wilson_high_95,ci_half_width_95,target_half_width
20,0.05,0.00888121943287,0.236135893513,0.11362733704,0.04
40,0.075,0.0258355567719,0.198645301591,0.0864048724096,0.04
60,0.0833333333333,0.0361199240505,0.180691684681,0.0722858803153,0.04
80,0.075,0.0348247748511,0.154122000974,0.0596486130614,0.04
100,0.1,0.0552285416131,0.174367304368,0.0595693813773,0.04
120,0.0916666666667,0.0519566467894,0.156709907906,0.0523766305584,0.04
140,0.0785714285714,0.044436916873,0.135216257174,0.0453896701505,0.04
160,0.06875,0.0388190194422,0.118904049668,0.0400425151132,0.04
180,0.0666666666667,0.0385436921988,0.112899724308,0.0371780160543,0.04
