metric,value
baseline_minimum_fuel_kg,4658604.49502
sigma_grid_kg,2.38036490949
sigma_integrator_kg,0.00505583279375
bias_opt_vs_sim_kg,0.00252013094723
sigma_numerical_kg,2.38037161276
sigma_parameter_kg,8751.39666291
sigma_parameter_ci_low_95_kg,6749.99427625
sigma_parameter_ci_high_95_kg,10211.6062033
sigma_total_kg,8751.39698664
sigma_total_from_sigma_param_ci_low_kg,6749.99469596
sigma_total_from_sigma_param_ci_high_kg,10211.6064807
ci95_half_width_kg,17152.7380938
numerical_variance_share_percent,7.39834798579e-06
parameter_variance_share_percent,99.9999926017
parameter_valid_rate,0.878787878788
parameter_mean_minimum_fuel_kg,4659170.71587
parameter_p2p5_minimum_fuel_kg,4644213.41488
parameter_p97p5_minimum_fuel_kg,4673174.51381
report_rounding_step_kg,10000
report_value_kg,4660000
report_uncertainty_kg,20000
