rtol,atol,final_altitude_m,final_velocity_m_s,altitude_error_m,velocity_error_m_s,radial_velocity_m_s,terminal_valid,strict_terminal_ok,strict_path_ok,raw_path_ok,raw_q_ok,raw_g_ok,q_ok,g_ok,max_q_pa,max_g,status
1e-06,1e-09,419201.823125,7658.41647756,-798.176875359,1.14699297922,-2.44644942827,1,1,1,0,0,1,1,1,35045.0987099,3.99655135135,PASS_SLACK
5e-07,5e-10,419396.054217,7657.0526185,-603.945782519,-0.216866084295,-1.97229151156,1,1,1,0,0,0,1,1,35032.9364298,4.00351992977,PASS_SLACK
1e-07,1e-10,419926.08719,7657.39347606,-73.9128100798,0.123991481591,-0.288359233592,1,1,1,0,0,1,1,1,35047.5142285,3.9997690738,PASS_SLACK
5e-08,5e-11,419917.372248,7657.40466405,-82.6277517471,0.135179468829,-0.299688350978,1,1,1,0,0,0,1,1,35073.1608315,4.00277997903,PASS_SLACK
1e-08,1e-11,419991.258588,7657.31269946,-8.74141190574,0.0432148750961,-0.00623386779916,1,1,1,0,0,0,1,1,35027.777304,4.00467688623,PASS_SLACK
5e-09,5e-12,419992.909698,7657.28353823,-7.09030167293,0.0140536504268,-0.0171896490226,1,1,0,0,0,0,1,0,35044.3303061,4.05036175387,PATH
1e-09,1e-12,419998.161435,7657.27138096,-1.83856468741,0.00189638185566,-0.00639171102564,1,1,1,0,0,0,1,1,35037.0561251,4.00517772508,PASS_SLACK
1e-10,1e-13,419999.835445,7657.26960616,-0.164554551244,0.000121582358588,-0.000515034809532,1,1,1,0,0,0,1,1,35034.0840342,4.00524302598,PASS_SLACK
1e-11,1e-14,419999.99898,7657.26953694,-0.00102016795427,5.23572598468e-05,1.49534309244e-05,1,1,1,0,0,0,1,1,35032.341962,4.01479028488,PASS_SLACK
1e-12,1e-14,420000.00729,7657.26950851,0.00729021150619,2.39264827542e-05,3.13778028404e-05,1,1,1,0,0,0,1,1,35033.7557583,4.02080245616,PASS_SLACK
