n,success_rate,wilson_low_95,wilson_high_95,ci_half_width_95,relative_half_width,target_half_width,target_relative_half_width,orbit_error_p50,orbit_error_p90,orbit_error_p95,orbit_feasible_fraction_error_leq_1
20,0,0,0.161130125495,0.0805650627475,1.61130125495,0.04,0.6,33.8401187125,82.1032672663,100.233837804,0
40,0,0,0.0876245392504,0.0438122696252,1.75249078501,0.04,0.6,40.736641811,99.4410910623,115.068483863,0
60,0,0,0.0601739304779,0.030086965239,1.80521791434,0.04,0.6,40.736641811,99.4410910623,123.351933751,0
80,0,0,0.0458197362646,0.0229098681323,1.83278945058,0.04,0.6,43.4311258605,101.363279915,122.67820539,0
100,0,0,0.036994807476,0.018497403738,1.8497403738,0.04,0.6,42.6843121936,99.3572631064,121.651108255,0
120,0,0,0.0310202710559,0.015510135528,1.86121626336,0.04,0.6,42.6843121936,101.363279915,118.504567099,0
140,0,0,0.026707155649,0.0133535778245,1.86950089543,0.04,0.6,43.9514090214,102.813462173,118.504567099,0
160,0,0,0.02344703665,0.011723518325,1.875762932,0.04,0.6,45.0177621658,109.814169469,125.265725943,0
180,0,0,0.0208962498151,0.0104481249075,1.88066248336,0.04,0.6,44.4174995631,112.34193914,125.611173786,0
200,0.005,0.000883145989366,0.0277743998698,0.0134456269402,2.68912538804,0.04,0.6,45.7004891616,114.755326324,135.156908504,0.005
220,0.00454545454545,0.000802814821566,0.0252942109324,0.0122456980554,2.69405357219,0.04,0.6,46.0288113583,116.29974012,137.75308214,0.00454545454545
240,0.00416666666667,0.00073587908975,0.0232206566285,0.0112423887694,2.69817330465,0.04,0.6,46.0634528138,116.29974012,143.34196446,0.00416666666667
260,0.00384615384615,0.000679246066506,0.021461310995,0.0103910324642,2.7016684407,0.04,0.6,45.615674196,116.52121425,147.154444315,0.00384615384615
280,0.00357142857143,0.000630707051959,0.0199497857299,0.00965953933899,2.70467101492,0.04,0.6,45.9308735482,116.29974012,147.154444315,0.00357142857143
300,0.00333333333333,0.000588642576141,0.0186371645549,0.0090242609894,2.70727829682,0.04,0.6,46.0288113583,116.819183517,150.897865469,0.00333333333333
320,0.003125,0.000551838193313,0.0174866102333,0.00846738602001,2.7095635264,0.04,0.6,45.9308735482,116.819183517,147.154444315,0.003125
340,0.00294117647059,0.000519365313775,0.0164698529774,0.00797524383183,2.71158290282,0.04,0.6,46.0288113583,116.52121425,147.154444315,0.00294117647059
360,0.00277777777778,0.000490501772081,0.0155648365949,0.00753716741143,2.71338026812,0.04,0.6,46.2366943026,116.819183517,150.897865469,0.00277777777778
380,0.00263157894737,0.000464677487157,0.0147541002587,0.00714471138575,2.71499032659,0.04,0.6,46.0288113583,116.52121425,147.154444315,0.00263157894737
400,0.0025,0.000441436429434,0.0140236409672,0.00679110226891,2.71644090756,0.04,0.6,46.0288113583,116.819183517,148.322885317,0.0025
